# id,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
0,6,5,4,5,2,2,3,3,6,5,1,0
1,6,2,0,4,5,2,6,3,6,0,5,0
2,4,2,0,4,6,3,3,3,6,0,2,0
3,1,1,0,0,4,4,3,1,5,1,2,1
4,4,6,3,5,2,2,6,1,1,0,5,0
5,2,4,2,0,4,5,4,6,1,6,2,1
6,0,5,2,4,6,2,3,5,2,1,5,0
7,0,2,2,4,2,4,2,0,4,0,1,0
8,0,6,0,5,5,3,1,1,1,5,2,0
9,1,6,5,3,6,6,3,1,0,1,0,1
10,2,0,2,4,1,2,4,3,5,1,5,1
11,2,6,5,0,1,4,3,3,3,2,1,1
12,0,0,4,1,4,4,1,0,4,1,5,0
13,6,5,2,5,4,2,3,0,4,5,5,0
14,0,1,6,0,5,2,6,2,1,6,1,1
15,1,0,2,3,6,6,2,2,5,2,5,1
16,1,4,5,4,5,4,6,6,1,4,0,1
17,2,1,6,4,6,6,2,2,3,6,0,1
18,2,0,5,4,4,5,2,6,3,1,0,1
19,3,4,2,2,6,4,4,2,3,1,2,1
20,6,6,3,1,5,6,1,3,6,2,4,0
21,0,1,5,2,6,5,6,1,0,6,5,1
22,1,6,0,0,1,4,3,2,1,2,2,1
23,6,0,0,1,5,3,1,3,6,1,5,0
24,2,0,2,0,1,2,6,2,5,1,5,1
25,2,4,2,0,5,6,4,3,1,1,2,1
26,4,5,4,4,4,4,3,3,4,2,4,0
27,2,6,6,3,1,6,3,3,1,1,2,1
28,2,6,5,4,4,6,2,1,1,6,2,1
29,1,6,0,5,2,4,1,5,2,5,1,0
30,6,6,3,6,2,2,2,5,4,5,4,0
31,1,0,3,4,5,3,3,5,6,5,1,0
32,2,6,5,3,1,2,2,1,0,6,5,1
33,4,2,0,6,6,6,6,1,1,0,2,0
34,1,0,5,3,5,2,4,6,0,2,0,1
35,3,6,5,3,5,6,3,6,0,6,2,1
36,0,0,2,2,4,4,2,1,1,1,5,1
37,1,1,6,4,5,2,4,6,0,6,0,1
38,3,4,2,4,4,6,2,2,3,2,1,1
39,0,1,5,0,4,4,4,2,0,2,5,1
40,1,1,0,2,4,6,4,3,5,6,0,1
41,4,2,4,4,5,6,6,5,2,0,1,0
42,0,1,2,2,5,4,3,2,0,6,2,1
43,6,2,4,1,2,3,2,3,1,2,4,0
44,2,1,0,2,5,4,2,6,5,1,5,1
45,0,0,4,1,6,6,6,5,2,2,1,0
46,1,2,0,6,4,2,1,5,2,2,1,0
47,1,6,2,4,4,6,3,1,4,1,2,0
48,2,0,6,0,6,6,6,2,0,1,5,1
49,4,5,0,4,6,4,1,5,2,2,2,0
50,0,6,0,5,2,2,6,1,1,2,1,0
51,3,6,2,0,4,4,6,2,1,1,5,1
52,1,0,0,4,5,6,2,1,4,0,4,0
53,1,4,6,2,6,2,3,2,1,6,0,1
54,4,2,0,6,4,3,2,0,6,0,1,0
55,1,2,2,6,5,6,2,0,4,5,4,0
56,0,1,0,0,5,6,2,2,0,2,1,1
57,2,4,5,0,5,2,2,2,1,1,5,1
58,2,0,0,3,5,5,3,1,1,4,0,1
59,1,6,4,4,5,3,1,3,4,5,4,0
60,0,2,3,5,6,3,6,1,6,0,5,0
61,0,5,3,6,5,4,1,0,4,2,5,0
62,2,0,0,4,5,2,6,2,1,6,1,1
63,4,2,0,4,4,2,6,1,4,5,1,0
64,3,4,5,3,4,4,4,3,1,1,1,1
65,1,2,4,4,5,2,3,5,6,0,5,0
66,4,0,4,6,5,4,2,3,6,0,2,0
67,3,4,2,0,6,5,2,3,5,4,5,1
68,3,0,0,3,6,6,3,6,5,6,0,1
69,0,1,6,2,5,5,6,3,0,1,5,1
70,0,5,0,1,5,3,2,0,2,5,1,0
71,1,4,0,3,1,4,3,2,5,1,2,1
72,1,6,0,4,5,4,1,3,1,1,5,0
73,3,1,0,3,1,6,6,1,1,1,2,1
74,3,4,5,3,5,6,4,1,0,2,2,1
75,1,0,0,4,4,6,3,0,6,1,1,0
76,0,2,4,1,6,6,3,1,2,2,4,0
77,1,0,0,1,2,2,1,1,6,5,2,0
78,1,0,5,4,4,2,6,3,0,6,2,1
79,3,6,6,2,6,4,3,3,3,6,5,1
80,4,0,0,4,5,4,3,0,4,1,2,0
81,0,5,2,1,5,6,6,0,1,2,2,0
82,1,2,2,1,4,2,2,1,1,5,5,0
83,1,6,2,3,6,5,3,1,3,1,2,1
84,2,6,0,4,6,6,3,6,5,4,1,1
85,3,4,6,3,1,4,3,1,3,4,1,1
86,0,0,2,2,5,4,2,3,3,1,1,1
87,0,6,6,4,4,2,6,1,3,1,5,1
88,6,0,0,4,6,6,3,5,1,0,2,0
89,2,6,2,2,5,5,6,6,3,6,5,1
90,0,4,6,3,6,2,3,6,5,6,0,1
91,3,0,2,0,6,2,2,6,3,1,1,1
92,1,6,3,4,5,4,3,3,1,2,4,0
93,1,1,2,3,1,4,6,2,1,2,5,1
94,4,5,0,4,2,2,1,5,2,1,5,0
95,0,5,3,6,5,4,1,3,2,0,1,0
96,0,6,0,3,6,4,3,3,3,1,5,1
97,4,2,3,1,6,4,2,5,6,5,1,0
98,0,6,0,1,6,6,6,3,4,1,2,0
99,1,0,2,1,5,6,1,3,6,0,5,0
100,2,0,0,0,5,6,6,3,5,2,5,1
101,1,6,6,3,1,5,6,2,3,2,1,1
102,2,1,2,0,5,5,4,2,5,1,1,1
103,2,0,0,3,4,6,2,3,1,6,0,1
104,1,1,2,0,6,2,3,2,5,4,0,1
105,2,4,0,0,6,2,4,2,3,6,0,1
106,4,5,0,5,5,3,6,1,4,2,5,0
107,3,4,0,4,4,5,3,2,0,6,5,1
108,4,2,4,6,2,6,1,0,6,0,1,0
109,2,4,0,4,6,5,3,2,5,6,0,1
110,3,0,2,3,4,4,6,2,0,6,1,1
111,2,6,6,3,4,4,6,1,0,6,0,1
112,2,1,6,2,5,4,2,1,0,4,0,1
113,0,6,0,6,4,4,1,5,6,0,4,0
114,0,1,5,3,4,4,4,1,1,6,1,1
115,6,6,2,6,5,6,2,1,4,2,1,0
116,4,6,2,4,5,2,1,0,6,1,4,0
117,0,0,2,6,2,2,1,0,6,0,5,0
118,1,0,3,5,5,6,1,0,4,0,1,0
119,1,1,5,3,6,2,3,1,5,4,0,1
120,3,4,6,4,1,2,3,2,0,6,1,1
121,0,4,6,4,6,6,4,1,0,6,5,1
122,2,1,6,0,5,6,4,2,1,6,2,1
123,3,4,6,0,1,2,6,1,3,4,2,1
124,3,0,2,3,5,4,2,2,5,4,2,1
125,4,6,2,1,5,2,1,5,4,2,2,0
126,1,6,2,4,4,6,6,3,2,1,4,0
127,3,1,6,3,4,4,2,2,0,4,2,1
128,3,4,0,3,1,2,3,3,1,1,0,1
129,1,4,6,3,1,6,3,6,0,1,2,1
130,6,6,3,6,4,6,6,3,4,5,5,0
131,0,5,3,6,6,6,3,0,4,2,2,0
132,2,1,5,2,5,4,3,1,1,1,2,1
133,4,5,4,4,4,3,3,5,6,1,5,0
134,0,1,6,4,6,2,2,3,3,2,5,1
135,3,6,5,3,4,5,4,3,0,6,0,1
136,1,6,0,4,5,4,2,2,5,2,5,1
137,0,6,6,2,1,5,4,1,1,4,2,1
138,3,4,2,2,6,2,4,6,5,2,5,1
139,3,1,5,2,1,4,2,3,3,4,1,1
140,6,5,0,5,5,6,6,0,6,0,2,0
141,4,5,0,4,5,4,3,0,4,1,5,0
142,4,6,0,1,6,3,1,3,2,5,5,0
143,1,0,3,6,4,6,1,0,2,0,2,0
144,1,6,2,4,2,2,2,5,2,2,4,0
145,2,1,5,3,1,6,6,2,3,1,5,1
146,4,5,4,6,5,3,1,3,6,2,4,0
147,1,1,2,4,6,6,6,3,5,6,5,1
148,3,6,6,4,5,5,4,6,5,4,5,1
149,1,2,3,6,6,2,1,1,4,0,1,0
150,6,0,4,6,6,6,2,1,6,0,2,0
151,3,4,0,0,5,4,4,1,5,4,5,1
152,0,1,5,2,1,4,2,1,0,1,1,1
153,6,0,0,1,6,6,1,0,4,1,1,0
154,3,0,0,0,6,6,3,6,3,2,1,1
155,3,6,5,2,6,6,2,6,5,1,0,1
156,0,6,2,4,4,6,3,5,4,2,4,0
157,0,0,6,2,6,2,2,6,1,1,1,1
158,0,2,3,4,5,3,3,5,2,2,2,0
159,1,0,3,6,2,4,1,3,6,5,1,0
160,0,0,2,4,4,6,3,6,1,6,0,1
161,4,6,0,1,5,2,1,3,6,2,2,0
162,1,6,0,6,5,2,1,0,6,5,5,0
163,1,6,0,6,5,4,3,3,4,0,1,0
164,1,0,0,4,4,5,4,1,3,6,5,1
165,1,5,0,6,5,3,3,3,1,2,2,0
166,4,2,2,4,6,4,2,5,4,0,5,0
167,0,6,5,2,4,6,3,1,5,2,1,1
168,0,0,6,2,4,4,2,2,3,6,1,1
169,2,6,6,0,1,6,3,6,1,6,0,1
170,0,2,0,6,2,4,6,1,1,1,2,0
171,0,5,4,4,6,4,2,1,4,5,5,0
172,0,6,5,3,5,4,6,2,1,4,2,1
173,0,6,0,6,4,3,1,1,4,2,2,0
174,1,2,0,1,6,4,1,5,6,5,4,0
175,3,6,6,4,1,5,2,6,1,4,1,1
176,0,2,2,5,4,6,3,5,4,5,4,0
177,1,1,6,3,5,2,6,3,3,4,5,1
178,6,2,0,6,4,4,3,3,4,1,5,0
179,6,6,4,4,2,6,6,3,1,1,5,0
180,1,4,5,0,6,6,3,6,5,4,5,1
181,1,0,2,0,4,5,2,1,5,2,5,1
182,0,1,6,0,1,4,3,3,0,6,2,1
183,1,5,4,1,2,4,3,0,6,2,2,0
184,0,0,0,4,4,3,2,3,2,1,4,0
185,3,0,2,0,6,6,4,1,5,2,2,1
186,0,4,6,2,4,6,6,6,3,4,1,1
187,1,2,4,5,2,3,3,1,1,5,2,0
188,0,2,4,6,2,2,3,5,6,0,4,0
189,0,5,4,5,5,4,1,3,2,1,2,0
190,6,0,0,5,5,6,2,5,6,0,5,0
191,1,0,0,2,1,6,4,1,1,1,1,1
192,3,0,5,0,6,6,3,1,5,1,0,1
193,1,4,6,4,6,5,6,1,1,6,2,1
194,1,0,2,4,5,2,4,6,3,6,2,1
195,2,4,6,4,6,5,2,1,1,4,5,1
196,6,6,4,5,5,6,2,3,6,0,1,0
197,2,4,6,0,4,6,4,6,1,2,5,1
198,2,6,0,2,5,2,3,3,5,2,1,1
199,1,0,5,3,6,5,6,6,5,1,2,1
200,6,5,2,5,4,6,3,3,6,1,1,0
201,0,5,4,5,2,6,3,1,6,1,2,0
202,0,5,4,4,4,2,2,0,1,5,1,0
203,4,0,3,4,6,4,6,1,4,1,1,0
204,0,6,2,3,6,4,6,6,1,1,0,1
205,0,1,6,3,5,2,4,3,3,4,5,1
206,2,6,6,3,6,5,2,3,0,1,1,1
207,2,6,2,0,4,6,6,2,0,4,1,1
208,4,5,2,5,6,3,2,5,1,2,1,0
209,1,0,6,3,4,6,6,1,5,6,0,1
210,1,2,2,5,5,3,6,3,1,5,4,0
211,2,4,0,0,5,4,6,1,0,4,5,1
212,3,1,2,4,5,6,3,3,0,1,1,1
213,3,4,5,3,5,6,3,1,5,6,2,1
214,0,0,0,2,1,6,6,2,1,2,1,1
215,0,5,0,6,5,6,1,3,2,1,1,0
216,6,5,2,5,4,6,2,0,1,1,5,0
217,6,5,4,4,6,4,3,3,2,1,1,0
218,0,6,2,2,1,2,6,1,5,2,1,1
219,2,1,0,3,5,6,4,6,3,4,1,1
220,3,4,5,2,6,5,2,3,5,2,1,1
221,3,1,5,2,4,4,4,1,5,1,1,1
222,0,6,6,3,4,4,3,6,1,1,1,1
223,1,4,6,4,1,6,2,6,0,4,5,1
224,6,6,4,4,6,2,2,1,4,5,5,0
225,4,5,0,1,5,4,1,5,4,1,1,0
226,3,1,0,4,4,6,2,3,5,2,0,1
227,1,2,0,5,2,2,6,3,4,0,1,0
228,3,0,6,2,5,5,6,6,0,4,1,1
229,0,6,0,5,6,3,1,0,4,5,2,0
230,0,2,2,4,6,3,2,5,6,2,5,0
231,6,0,0,5,5,6,3,0,1,1,2,0
232,6,5,2,6,5,3,6,1,6,2,5,0
233,2,0,0,3,6,5,2,3,3,1,2,1
234,4,2,0,4,2,6,2,3,1,0,2,0
235,3,0,5,0,5,5,4,2,5,4,1,1
236,3,1,5,2,1,5,4,1,3,6,2,1
237,1,1,5,0,1,2,4,6,1,4,2,1
238,6,0,2,5,6,6,6,3,4,2,2,0
239,3,0,6,0,6,2,6,1,1,6,0,1
240,2,0,0,4,6,6,4,2,1,6,1,1
241,1,2,2,6,6,3,6,1,6,0,5,0
242,4,5,3,6,2,4,1,3,6,2,2,0
243,0,5,2,4,2,3,1,1,6,5,1,0
244,4,6,0,5,5,2,2,1,4,0,2,0
245,6,5,0,6,6,3,6,3,4,5,1,0
246,0,0,2,3,5,6,2,3,3,2,0,1
247,4,2,2,5,2,4,6,0,1,0,5,0
248,4,0,4,5,2,6,3,0,6,1,1,0
249,6,6,4,6,5,6,6,1,1,5,4,0
250,2,6,0,2,6,6,6,3,1,1,2,1
251,2,6,0,3,6,5,2,3,1,2,2,1
252,6,2,4,5,5,4,2,5,6,1,4,0
253,0,2,2,1,5,3,2,3,1,2,4,0
254,0,1,0,4,5,2,2,2,1,6,2,1
255,0,0,2,5,5,2,6,5,2,0,1,0
256,1,2,4,4,6,2,3,0,1,1,5,0
257,3,1,2,0,5,5,3,3,5,6,2,1
258,0,5,4,1,5,2,6,1,1,5,5,0
259,3,6,0,4,1,2,4,2,3,2,0,1
260,1,4,0,4,4,6,6,1,1,1,0,1
261,2,4,6,3,6,4,2,1,5,1,0,1
262,3,4,2,4,6,4,6,2,0,1,0,1
263,1,0,2,2,6,4,2,6,3,1,5,1
264,0,1,5,4,6,5,3,1,3,1,0,1
265,1,0,2,4,6,6,2,3,1,1,5,1
266,3,4,5,0,4,5,6,3,5,4,5,1
267,1,4,0,3,5,2,2,2,0,4,1,1
268,4,6,4,5,6,6,1,5,4,2,1,0
269,2,4,6,0,5,6,6,3,5,1,2,1
270,2,1,2,0,4,4,4,2,3,2,0,1
271,0,2,4,6,4,2,3,3,4,1,1,0
272,0,5,0,6,6,6,1,5,1,0,5,0
273,3,4,6,2,6,5,4,6,0,4,5,1
274,1,0,5,3,4,6,4,6,5,4,0,1
275,2,0,0,4,4,6,4,2,0,6,0,1
276,0,6,0,5,6,4,2,0,1,5,2,0
277,1,6,3,5,4,3,1,1,4,5,5,0
278,1,6,4,4,6,4,1,5,1,0,1,0
279,1,0,0,5,5,3,6,3,2,1,5,0
280,6,5,0,1,5,6,1,1,2,5,5,0
281,0,6,5,3,5,6,3,3,3,2,0,1
282,2,1,6,4,4,6,4,2,3,4,1,1
283,1,6,2,4,4,6,6,3,1,5,2,0
284,6,6,3,5,6,6,6,1,6,5,5,0
285,1,1,6,2,6,6,2,2,3,6,2,1
286,4,0,0,4,2,4,2,1,6,2,2,0
287,2,6,2,3,4,4,4,1,1,6,2,1
288,3,6,5,3,5,6,3,2,1,1,1,1
289,1,2,0,5,5,2,2,0,6,5,5,0
290,1,1,6,3,1,4,3,3,1,6,0,1
291,1,0,0,1,5,3,1,5,6,2,5,0
292,0,0,6,3,5,5,4,2,5,4,1,1
293,1,6,3,5,2,4,6,0,1,2,4,0
294,6,6,4,1,6,2,2,5,4,1,4,0
295,3,6,2,4,6,4,2,1,5,6,5,1
296,2,4,5,3,1,6,3,1,3,6,0,1
297,2,4,0,2,6,2,4,3,1,4,5,1
298,1,4,0,2,6,6,3,6,1,4,2,1
299,1,4,6,4,1,5,2,6,3,1,0,1
300,1,2,0,5,4,2,1,3,1,0,2,0
301,0,0,5,3,5,4,4,1,1,4,2,1
302,3,1,5,0,4,5,6,3,1,6,1,1
303,1,1,5,4,4,6,2,2,5,1,5,1
304,1,6,4,4,5,6,3,3,1,1,5,0
305,1,0,6,0,4,6,3,3,3,6,2,1
306,0,6,2,3,6,4,4,6,1,4,1,1
307,0,6,2,6,4,6,6,5,4,0,5,0
308,1,0,3,6,6,6,1,3,1,5,1,0
309,1,0,2,0,5,2,6,3,3,1,0,1
310,1,4,0,3,1,2,6,3,5,6,5,1
311,2,6,0,3,5,5,4,1,5,4,1,1
312,4,2,3,4,6,4,2,5,4,2,1,0
313,1,0,5,3,4,2,4,2,0,6,1,1
314,1,5,0,6,5,6,2,1,1,1,4,0
315,1,1,6,3,4,6,2,1,0,4,1,1
316,3,0,0,3,5,2,6,6,1,4,2,1
317,3,6,5,4,4,6,4,3,1,2,0,1
318,6,5,0,4,4,2,3,5,2,1,2,0
319,4,6,4,1,5,6,3,3,6,0,1,0
320,0,2,3,4,4,2,2,5,2,0,1,0
321,3,6,2,2,1,5,6,1,1,4,1,1
322,3,0,5,2,4,6,4,1,0,6,5,1
323,4,2,4,1,5,3,1,3,6,2,4,0
324,0,0,6,4,1,5,2,1,3,6,2,1
325,6,0,3,6,5,6,6,5,1,0,2,0
326,4,5,2,4,4,2,1,1,4,1,1,0
327,0,0,3,6,4,4,1,3,2,0,1,0
328,2,6,6,2,6,2,6,3,3,4,2,1
329,1,6,4,6,6,2,3,3,1,2,2,0
330,1,2,2,4,4,2,1,1,6,0,1,0
331,1,1,0,0,1,2,3,6,5,1,1,1
332,1,2,4,4,5,6,3,1,4,2,5,0
333,1,2,4,6,2,3,1,1,6,2,2,0
334,1,5,4,5,5,6,2,3,6,2,1,0
335,1,0,3,4,5,6,6,5,6,0,5,0
336,0,2,3,1,4,2,1,0,1,2,1,0
337,6,0,0,6,5,4,3,3,2,5,2,0
338,4,0,0,6,4,2,2,0,4,5,2,0
339,0,0,6,3,6,5,2,2,5,4,0,1
340,1,6,2,1,6,2,3,3,6,2,2,0
341,1,5,2,1,2,4,3,1,2,0,2,0
342,2,1,6,2,4,2,2,2,3,6,1,1
343,2,6,0,4,5,2,6,1,5,6,5,1
344,4,2,0,1,4,6,2,0,6,2,1,0
345,2,1,2,2,5,2,6,6,5,4,0,1
346,4,0,2,6,4,6,3,5,1,5,4,0
347,3,4,0,2,5,5,3,6,3,6,1,1
348,3,6,0,4,4,5,3,2,0,2,0,1
349,1,0,2,4,2,6,3,3,1,2,4,0
350,4,2,2,1,5,6,2,5,2,2,1,0
351,0,5,2,5,2,6,2,0,1,1,5,0
352,4,6,4,5,4,4,1,1,2,2,2,0
353,0,6,2,3,4,6,3,1,5,1,0,1
354,4,2,2,4,2,6,6,1,6,1,4,0
355,1,6,4,6,2,2,1,0,2,1,5,0
356,6,0,0,4,4,4,1,1,1,1,4,0
357,0,6,4,5,4,2,6,0,4,0,1,0
358,0,0,5,2,4,6,2,2,3,1,0,1
359,4,6,2,6,6,3,3,5,1,1,2,0
360,4,6,4,6,5,2,2,5,2,5,1,0
361,1,5,0,6,2,4,2,3,1,0,1,0
362,0,6,2,2,5,4,2,3,1,4,1,1
363,0,0,6,2,5,6,4,6,0,2,2,1
364,4,2,3,1,5,2,1,5,4,1,5,0
365,2,4,6,2,5,6,3,3,3,2,1,1
366,6,5,2,4,6,4,2,5,4,2,2,0
367,2,0,6,2,6,2,3,1,5,6,5,1
368,3,6,2,4,4,2,4,1,0,2,2,1
369,1,0,6,4,5,6,4,3,3,1,2,1
370,1,6,4,1,5,2,1,3,1,5,1,0
371,1,2,4,4,5,2,2,1,1,0,5,0
372,3,0,5,3,6,5,3,1,0,4,5,1
373,0,6,5,3,6,6,2,6,3,4,1,1
374,0,0,0,4,5,6,3,1,6,2,2,0
375,0,6,0,3,4,4,6,2,3,4,0,1
376,4,5,3,4,6,2,1,5,4,0,4,0
377,1,2,2,6,4,2,2,0,4,5,1,0
378,0,4,5,2,1,2,6,3,1,4,5,1
379,4,2,2,5,6,3,2,5,1,1,5,0
380,4,5,3,1,2,2,6,0,6,2,5,0
381,4,5,3,4,5,3,2,1,2,1,2,0
382,1,6,2,5,4,2,3,0,2,0,2,0
383,4,2,0,6,6,3,1,3,4,5,5,0
384,0,5,3,4,5,6,3,1,4,2,4,0
385,1,0,3,4,2,6,6,5,6,5,2,0
386,6,6,0,5,5,4,6,3,4,0,4,0
387,2,4,6,3,5,5,4,2,3,4,1,1
388,0,2,4,6,5,4,6,1,6,5,4,0
389,0,6,3,1,6,3,6,3,1,1,4,0
390,6,5,2,1,5,3,6,0,2,2,1,0
391,2,1,2,2,5,4,6,3,5,1,0,1
392,0,2,3,6,6,6,1,1,6,1,4,0
393,2,4,5,3,6,6,2,6,3,6,2,1
394,3,6,6,2,6,4,3,1,5,2,2,1
395,4,2,2,4,2,6,6,5,1,5,4,0
396,0,2,0,4,5,6,3,0,2,1,4,0
397,1,0,5,4,1,6,3,1,3,2,0,1
398,4,2,2,1,5,3,2,1,6,5,2,0
399,1,5,4,1,4,3,2,3,6,2,2,0
400,3,6,6,2,6,5,4,6,5,6,5,1
401,6,6,4,6,6,6,6,5,6,2,4,0
402,2,0,5,4,6,4,3,3,5,4,1,1
403,6,0,0,6,4,4,3,5,4,2,1,0
404,0,0,0,1,5,4,1,1,6,2,2,0
405,6,6,3,6,6,3,6,3,1,2,2,0
406,0,1,2,0,1,2,3,1,3,6,0,1
407,1,6,0,1,4,6,3,3,1,1,5,0
408,0,4,0,0,5,2,3,6,0,2,0,1
409,1,2,0,5,5,6,1,5,1,2,2,0
410,0,1,2,2,6,6,4,3,3,6,5,1
411,0,0,0,6,6,6,6,0,4,0,1,0
412,2,6,0,0,5,4,4,1,3,2,0,1
