# id,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,X_92,X_93,X_94,X_95,X_96,X_97,X_98,X_99,y
0,6,5,4,5,2,2,3,3,6,5,1,1,6,3,5,-0.99513124,-3.6292718,2.4204502,-0.97570679,-0.10658287,-2.6091914000000003,-0.50468426,-0.40461826,0.76365848,-0.9612525,-0.43076305,0.21113412,-1.6542911,-0.70296259,0.71313918,0.10048822,-1.2143941999999999,-0.97570679,0.57761198,1.844862,1.2231096000000001,-3.2379518,0.19014047,-1.9326177,-2.6872125,1.5403452,-0.50468426,-2.228743,0.40144393,1.3882938,-0.92881286,-0.51232563,1.0622768,-0.97570679,-1.5348242,3,1,0,5,3,2,3,6,4,4,5,3,3,4,3,-2.228743,-1.2733956,0.52975239,-1.2733956,2.9516687000000004,1.3882938,-1.0942843999999998,-2.6091914000000003,0.039236337,2.1533357000000004,3.2339791,-0.29600692,2.1533357000000004,0.19014047,-0.70296259,2.9516687000000004,0.71730253,2.4204502,0.8193011999999998,2.2221227999999997,-2.228743,-2.6872125,-1.119919,-1.9173942,-0.97570679,-1.7131415,2.9516687000000004,-1.6082825,-2.6872125,-0.809006,0.67904304,2.4204502,-3.6292718,2.1533357000000004,0.21443366,0
1,6,2,0,4,5,2,6,3,6,0,5,1,4,2,1,-0.16656857,0.61825443,0.65639777,0.8627676999999999,2.4257922,1.2309041,-1.7445764,2.624782,-0.61661435,-1.0476028,0.94202771,-0.6085349,-0.40886915,1.3301321000000002,0.25909505,0.35601546,-1.0189006999999999,0.8627676999999999,0.11420586,-0.91404927,1.3910996,0.28547551,-1.2525113,-0.84352648,-0.72700356,0.58363041,-1.7445764,-0.48258383,-0.13750778,0.081833766,1.1217928,-0.33013971,-1.4597562,0.8627676999999999,0.72914825,3,5,0,2,0,2,2,0,4,3,2,2,1,1,3,-0.48258383,0.93100776,1.4746455,0.93100776,0.44650815,0.081833766,-0.23991306,1.2309041,-0.076009164,-0.20594382,-0.43333899,0.41054772,-0.20594382,-1.2525113,1.3301321000000002,0.44650815,-0.20745641,0.65639777,0.51757123,0.049731637999999995,-0.48258383,-0.72700356,2.9264381,0.17387676,0.8627676999999999,1.2232214,0.44650815,0.65125066,-0.72700356,2.328492,0.6974745,0.65639777,0.61825443,-0.20594382,1.0061347999999999,0
2,4,2,0,4,6,3,3,3,6,0,2,1,2,1,4,0.76313938,-0.35092328,1.2323540000000002,0.55631855,0.5610991,0.48232071,-1.7587453999999998,0.7147380999999999,0.95239153,0.37397064,0.76976473,-0.1967545,-2.3525424999999998,1.0626648,0.42446089,0.63919844,-1.2624389999999999,0.55631855,1.6636232,0.60920458,-2.0346345,-0.56166941,-1.1213488,-0.93978549,-1.3665513999999999,0.36683096,-1.7587453999999998,-1.0209488000000002,-0.75183377,0.43159717,-0.32089286,-0.82744497,-1.0918285,0.55631855,0.90783157,3,5,1,1,0,4,6,3,4,3,3,2,3,0,3,-1.0209488000000002,0.54390757,-1.5241122999999999,0.54390757,1.1721897,0.43159717,-0.50404772,0.48232071,-0.48015287,0.35849345,0.42253148,2.5982093999999996,0.35849345,-1.1213488,1.0626648,1.1721897,0.64666557,1.2323540000000002,1.3712243999999998,0.61492116,-1.0209488000000002,-1.3665513999999999,-0.62407587,-0.32808898,0.55631855,1.0151651,1.1721897,0.74163043,-1.3665513999999999,-0.65623288,1.0582458000000001,1.2323540000000002,-0.35092328,0.35849345,0.91475412,0
3,1,1,0,0,4,4,3,1,5,1,2,1,1,2,1,-0.30378224,3.2961377,-3.1452332999999997,0.2689557,0.72353684,1.6728718999999996,2.0803404,-1.5936442,-0.28670686,1.0352299999999999,-0.37845171,1.0288969000000001,1.0445704,-0.43403571,-0.98489694,1.1491063999999998,2.1890370999999997,0.2689557,0.57012508,-2.2213295,0.11464969,3.1765333,0.90841534,0.38718835,3.4903362,0.78372477,2.0803404,2.7881763,-0.77356064,-1.5429236000000002,0.84282718,0.13311064,0.16832247,0.2689557,-0.57010517,5,1,0,3,2,0,4,3,3,4,4,4,4,0,1,2.7881763,0.52378836,1.3186083,0.52378836,-3.521899,-1.5429236000000002,1.3715912000000001,1.6728718999999996,1.5789571000000002,-2.0982302,-3.0413092999999995,-0.058745280999999996,-2.0982302,0.90841534,-0.43403571,-3.521899,0.50074265,-3.1452332999999997,0.08996338,-2.3976306,2.7881763,3.4903362,0.15819859,1.8767458,0.2689557,-1.717596,-3.521899,-0.4430557,3.4903362,-2.5527801,0.40841621,-3.1452332999999997,3.2961377,-2.0982302,1.6601564999999998,1
4,4,6,3,5,2,2,6,1,1,0,5,6,2,2,1,0.10245694,-1.3200329,0.86601554,-0.36423309,1.1408105,-0.95956785,-0.15898948,1.494116,-0.56183671,-1.0759878,-0.16833722,0.60374344,-0.67153774,-0.27192867,0.25427289,-0.18361762,-0.42524256,-0.36423309,-0.032091932999999996,0.29698547,0.14487062,-1.1741302,0.085536585,-0.95606563,-0.96148404,-0.36746842,-0.15898948,-0.7990598000000001,-0.67247292,0.50067466,-0.53631698,0.69928747,0.40353625,-0.36423309,-1.1566347,1,5,6,2,3,4,2,3,0,1,2,3,1,1,3,-0.7990598000000001,-0.47274327,0.53750309,-0.47274327,1.0608322000000001,0.50067466,-0.39228831,-0.95956785,0.51683834,0.78104806,1.1746793,-0.8218270000000001,0.78104806,0.085536585,-0.27192867,1.0608322000000001,0.44266564,0.86601554,2.2438306,0.8024777,-0.7990598000000001,-0.96148404,-0.24356024,-0.6953409,-0.36423309,-2.3333616000000004,1.0608322000000001,-1.199539,-0.96148404,2.1445021,0.72308551,0.86601554,-1.3200329,0.78104806,0.15986617,0
5,2,4,2,0,4,5,4,6,1,6,2,4,6,4,2,-0.96405204,0.7283759,0.16577893,0.62047423,0.18486491,1.0030947000000001,-1.0147099,0.055389109000000006,-0.37081026,1.4775243999999998,0.6160232,-0.29975372,-0.6846797,0.87899116,0.088897695,0.9209318999999999,-0.50357296,0.62047423,0.68895459,0.73692803,-2.7817731,0.48760164,-0.78200821,0.86012879,-0.18299075,-0.33592322,-1.0147099,-0.07837783599999999,-1.2354258999999999,-0.084551405,0.57489029,0.69135146,-0.99281242,0.62047423,0.6033029000000001,4,4,0,3,3,2,3,1,0,5,1,3,2,1,1,-0.07837783599999999,0.69090486,-0.40442941,0.69090486,-0.013623396999999999,-0.084551405,-0.040293516,1.0030947000000001,-0.83549044,-0.33408152,-0.57736208,-0.98165852,-0.33408152,-0.78200821,0.87899116,-0.013623396999999999,-0.29905857,0.16577893,0.10806438,-0.18486996,-0.07837783599999999,-0.18299075,0.51200176,0.29168339,0.62047423,-0.15262214,-0.013623396999999999,0.07893007,-0.18299075,1.2058451000000001,1.054715,0.16577893,0.7283759,-0.33408152,0.21855168,1
6,0,5,2,4,6,2,3,5,2,1,5,2,2,0,4,-0.066977683,-0.09970291199999999,0.98502995,0.57186076,1.2787298,0.60422513,-1.5871627000000001,-1.7257403999999998,-0.34621787,0.57247962,0.73473914,2.8336841,-1.3966087,1.0209709999999999,0.34668720000000003,-1.8843186,-1.0868754999999999,0.57186076,0.69173137,0.033455481,0.5986300999999999,-0.3176712,-1.0434301,-1.9608567,-1.092099,-0.8585043,-1.5871627000000001,-0.80230775,0.98231416,0.31173554,0.48519311,0.57660583,-1.0698997,0.57186076,-1.4999676000000002,4,3,1,5,2,1,6,5,4,2,5,2,0,0,5,-0.80230775,0.57874753,0.37210991,0.57874753,0.8970071,0.31173554,-0.39647598,0.60422513,0.0036949942999999997,0.19742867,0.18989659,1.4970997,0.19742867,-1.0434301,1.0209709999999999,0.8970071,0.58293109,0.98502995,0.55483748,0.42913433,-0.80230775,-1.092099,1.4093403999999998,-0.18396281,0.57186076,-2.9724204,0.8970071,-0.75964445,-1.092099,-0.53496937,-0.38415834,0.98502995,-0.09970291199999999,0.19742867,-0.078188374,0
7,0,2,2,4,2,4,2,0,4,0,1,2,6,0,1,-1.0104845999999998,0.033119897,1.0354242,0.69814906,-0.33459009,0.80198164,-1.8067369,0.011908246,1.0825361,-0.78835878,0.86346265,-0.2123678,-2.0392121,1.2040955,0.37007852,1.0429217,-1.2018311000000002,0.69814906,-1.2195288,-0.39219495,0.50769932,-0.23377554,-1.2090530000000002,-0.062359222,-1.1478214,-0.57771916,-1.8067369,-0.83286848,-1.0716919,0.30232317,0.57337455,-0.15683231,-1.2750708,0.69814906,-0.88010037,4,0,3,1,1,2,2,3,0,4,3,6,6,4,1,-0.83286848,0.7182099000000001,1.4704351,0.7182099000000001,0.91243384,0.30232317,-0.41186720000000004,0.80198164,0.65170806,0.13954267,0.08683018,0.27700269,0.13954267,-1.2090530000000002,1.2040955,0.91243384,0.84440318,1.0354242,0.68719893,0.40350268,-0.83286848,-1.1478214,0.71358852,-0.133655,0.69814906,0.487022,0.91243384,-0.21465652,-1.1478214,-1.0055874,1.2550521000000001,1.0354242,0.033119897,0.13954267,1.6233964,0
8,0,6,0,5,5,3,1,1,1,5,2,4,4,0,1,0.72805326,-1.5809043999999999,1.0675763,-0.41639175,-1.020573,-1.126822,-0.24250456,-0.98784015,1.0138609,-0.66885209,-0.17688446,-0.74192744,-0.520946,-0.29122291,0.31535432,-0.64926189,-0.5441649000000001,-0.41639175,-0.40594891,1.087676,-1.7480286,-1.413741,0.067717914,1.2796215,-1.1852143,-0.26683532,-0.24250456,-0.98151252,0.10325883,0.60867978,0.03050127,1.1439427,0.44689248,-0.41639175,-0.9209433000000001,4,1,6,3,3,4,6,3,0,2,4,4,1,3,5,-0.98151252,-0.54584744,-0.83643609,-0.54584744,1.2974958,0.60867978,-0.48194693,-1.126822,0.079204526,0.93998115,1.4101713,-0.48974917,0.93998115,0.067717914,-0.29122291,1.2974958,0.80179333,1.0675763,-0.38775063,0.97325545,-0.98151252,-1.1852143,0.35571171,-0.83710486,-0.41639175,-0.37833571,1.2974958,-1.0692248,-1.1852143,-1.0601698,0.34774379,1.0675763,-1.5809043999999999,0.93998115,1.5863257,0
9,1,6,5,3,6,6,3,1,0,1,0,5,1,2,2,-0.09532461699999999,-0.76238751,-0.93105874,-1.1431812,0.19039043,-1.6073692,2.3596292,-1.0198326,1.6345916999999999,0.46610251,-1.2605055,0.28672105,-0.20957353,-1.7779823000000001,-0.36281278,0.75796617,1.3959458999999999,-1.1431812,-0.028366066000000002,0.15303060000000002,0.73044405,-0.32174047,1.6833744,-1.3841643,1.0313328000000002,1.0791620000000002,2.3596292,0.69322445,-0.19589577,-0.13714216,0.82318748,-0.37438790000000005,1.945612,-1.1431812,1.0168129000000001,1,1,0,0,2,1,4,1,6,4,1,5,4,0,4,0.69322445,-1.2293249,-0.59348227,-1.2293249,-0.65864894,-0.13714216,0.34436553,-1.6073692,0.31077049,0.2356448,0.52098111,-0.64212255,0.2356448,1.6833744,-1.7779823000000001,-0.65864894,-0.09942323900000001,-0.93105874,0.47169009,-0.11006904,0.69322445,1.0313328000000002,-1.2114565000000002,-0.19702684,-1.1431812,-0.99732176,-0.65864894,-0.9731721999999999,1.0313328000000002,-1.663666,-0.86160023,-0.93105874,-0.76238751,0.2356448,-1.2451878,1
